,theta_0,theta_1,theta_2,theta_3,t_miqp,obj_miqp,s_miqp,t_qp,obj_qp,s_qp,t_qp_dt,obj_qp_dt,s_qp_dt,t_qp_rf,obj_qp_rf,s_qp_rf
317,0.6470598609400945,0.1435523189363338,0.005842652775036124,-0.0006454200835457839,0.00510716438293457,0.5912850123179388,Solved,0.00019735899999999998,0.5912813194232661,solved,0.000196311,0.5912813194232661,solved,0.000197044,0.5912813194232661,solved
318,0.3428943232315709,0.21716446763336172,-0.00788214019581874,0.0012249075330492045,0.011632919311523438,0.20369779964663293,Solved,0.000327621,0.20369788355421825,solved,0.00035983200000000003,0.20369788355421825,solved,0.000327331,0.20369788355421825,solved
319,0.23632181946697411,0.13733222172622944,0.004876078707911959,-0.0012572880558853108,0.005220890045166016,0.09282864035627289,Solved,0.000234341,0.09282864378517683,solved,0.000207808,0.09282864378517683,solved,0.000197295,0.09282864378517683,solved
320,0.18875237703281547,0.11022612371721327,0.0026409533842568483,0.0030204195873718385,0.0016546249389648438,0.05781725179187958,Solved,0.00019924800000000001,0.05781727712746764,solved,0.00021406799999999998,0.05781727712746764,solved,0.000217201,0.05781727712746764,solved
321,0.17417510692184604,0.17926679412102797,0.002592496592807062,-0.0090944970080565,0.004526376724243164,0.07258946311464012,Solved,0.00020347999999999997,0.07258948295190125,solved,0.000202046,0.07258948295190125,solved,0.00023402600000000003,0.07258948295190125,solved
322,0.5790746034364228,0.21626774857294215,0.004416150288204548,-0.0056454303460413266,0.008932113647460938,0.5061120790830184,Solved,0.000195743,0.506108820976013,solved,0.000223258,0.506108820976013,solved,0.00019643999999999998,0.506108820976013,solved
323,0.505150896071485,0.26548824193449744,-0.007690854722985339,-0.0012726303504155597,0.011284589767456055,0.415675334694216,Solved,0.000264882,0.415689453730664,solved,0.000259498,0.415689453730664,solved,0.000263726,0.415689453730664,solved
324,0.2994876330370326,0.047793753869337964,0.004740902675921643,0.006841492503324933,0.0016548633575439453,0.11907457135119193,Solved,0.000211438,0.11907455890623855,solved,0.000197403,0.11907455890623855,solved,0.000211916,0.11907455890623855,solved
325,0.13985014179643274,0.045651603705133756,-0.005142631920935816,0.004655101272982612,0.001631021499633789,0.02327490795863421,Solved,0.000240525,0.023274920254369925,solved,0.00019442,0.023274920254369925,solved,0.00022966,0.023274920254369925,solved
326,0.18703378204537696,0.1886247928353239,0.00017676669496698508,0.002123852815985627,0.006281137466430664,0.08578736144929856,Solved,0.000197733,0.08578762997837715,solved,0.00022129799999999998,0.08578762997837715,solved,0.000195076,0.08578762997837715,solved
327,0.13597847804114943,0.13753961646353727,-0.0016303567401717012,0.007538131749371962,0.0046045780181884766,0.04444013091979464,Solved,0.000198462,0.0444401511954239,solved,0.000203856,0.0444401511954239,solved,0.000195933,0.0444401511954239,solved
328,0.5328992361898858,0.12986134794173756,0.00012504667384836965,0.005500009038072403,0.005713224411010742,0.39609035702081663,Solved,0.000252444,0.39609026512849266,solved,0.000249441,0.39609026512849266,solved,0.00026173099999999996,0.39609026512849266,solved
329,0.2620971156425691,0.3546537846479573,0.0020883918326105397,0.009720888497818004,0.010574579238891602,0.2564123532119245,Solved,0.000198325,0.25641241042229557,solved,0.000203301,0.25641241042229557,solved,0.000223922,0.25641241042229557,solved
330,0.5292272071643435,0.09795592361349693,-0.00010754418505509213,0.00841809356507015,0.0066831111907958984,0.3817750832981094,Solved,0.000274085,0.381775747429107,solved,0.000271353,0.381775747429107,solved,0.000252375,0.381775747429107,solved
331,0.33040797551493817,0.10369143096843601,0.0018193155603468732,-0.0011405645775088985,0.006859779357910156,0.15239107807898827,Solved,0.000207178,0.1523914806738151,solved,0.00019504800000000002,0.1523914806738151,solved,0.00019759699999999999,0.1523914806738151,solved
