,theta_0,theta_1,t_miqp,obj_miqp,s_miqp,t_qp,obj_qp,s_qp,t_qp_dt,obj_qp_dt,s_qp_dt,t_qp_rf,obj_qp_rf,s_qp_rf
844,0.39386271020048447,0.1500743776531127,0.05126380920410156,0.0693900774348377,2,0.004383087158203125,0.06939278095577028,2,0.00403594970703125,0.06939278095577028,2,0.0037841796875,0.06939278095577028,2
845,0.9812999893668941,0.23731206020215556,0.053292036056518555,0.8529699217126107,2,0.0037069320678710938,0.8529765548824999,2,0.0032389163970947266,0.8529765548824999,2,0.0033278465270996094,0.8529765548824999,2
846,0.3259682150603098,0.6060246133766959,0.055809974670410156,0.3792226154295023,2,0.004246950149536133,0.3792254334388354,2,0.004129886627197266,0.3792254334388354,2,0.003573894500732422,0.3792254334388354,2
847,0.9336524431466814,0.2899915224866907,0.0753929615020752,0.7873344763837826,2,0.004617929458618164,0.7873347026444967,2,0.00407099723815918,0.7873347026444967,2,0.003887176513671875,0.7873347026444967,2
848,0.5797057114501508,0.08403931144302035,0.04853391647338867,0.197765485471039,2,0.0044040679931640625,0.197765490317021,2,0.00400996208190918,0.197765490317021,2,0.003824949264526367,0.197765490317021,2
849,0.8149075941598467,0.3326950877113356,0.07765507698059082,0.6034220477250571,2,0.003913164138793945,0.6034324259300116,2,0.003345012664794922,0.6034324259300116,2,0.003509998321533203,0.6034324259300116,2
850,0.7504497912428738,0.11985709298747393,0.04362797737121582,0.4105354255659743,2,0.004128932952880859,0.41053543043232277,2,0.0036890506744384766,0.41053543043232277,2,0.003553152084350586,0.41053543043232277,2
851,0.4061344095598458,0.9708238133527108,0.0533139705657959,0.9450266939328297,2,0.0037620067596435547,0.9450275694850944,2,0.0029418468475341797,0.9450275694850944,2,0.002919912338256836,0.9450275694850944,2
852,0.6986798300186654,0.8847325166478613,0.08881211280822754,1.1179167481026557,2,0.005170106887817383,1.1179308940389072,2,0.004415035247802734,1.1179308940389072,2,0.004189968109130859,1.1179308940389072,2
853,0.7433199838916014,0.08770229033475996,0.04060506820678711,0.3940778606630881,2,0.004001140594482422,0.39407786545173795,2,0.0038089752197265625,0.39407786545173795,2,0.003412961959838867,0.39407786545173795,2
